,Unnamed: 0,TEST ID,TEST CASE,PRE-CONDITIONS,PRECEDENCE,COMPLEXITY,PRECON_COUNT,WEIGHTAGE,Diff
94,94,BOOK_EVENT_002,Check view of Ticket prices,BOOK_EVENT_001,M,3,0,1.5,5.433149337768555
90,90,EVENT_DETAIL_002,Check view of Event details,EVENT_DETAIL_001,M,3,0,1.5,5.433149337768555
88,88,SESSION_005,Test Timer reset,SESSION_001,M,3,0,1.5,5.433149337768555
87,87,SESSION_004,Test Start Again button function,SESSION_003,M,3,0,1.5,5.433149337768555
22,22,HOME_006,Test load of Home Page after Category choice,CATEGORY_001,M,3,0,1.5,5.433149337768555
56,56,MOB_WALLET_001,Check dispaly of mobile wallet options,PAYMENT_OPT_003,M,3,0,1.5,5.433149337768555
52,52,NET_BANK_001,Test display of Bank Options,PAYMENT_OPT_003,M,3,0,1.5,5.433149337768555
19,19,SEARCHBAR_002,Check Return back to Home,SEARCHBAR_001,M,2,0,1.0,5.461926460266113
61,61,VOUCHER_002,Check Apply button,PAYMENT_OPT_003,M,2,0,1.0,5.461926460266113
30,30,MOVIE_DETAILS_002,Check view of Rating of a Movie,MOVIE_LOAD_001,M,2,0,1.0,5.461926460266113
29,29,MOVIE_DETAILS_001,Check view of Details of a Movie,MOVIE_LOAD_001,M,2,0,1.0,5.461926460266113
80,80,CONFIRM_006,Check QR code display,CONFIRM_001,M,1,0,0.5,5.49070405960083
26,26,RECOMMEND_002,Test change of Recommendation after Category,CATEGORY_001,L,8,0,0.8,6.006731700897217
